amsuite_reverse_engineered_api_map_v4
Section,Screen,Field / Feature,Host,HTTP Method,Endpoint,RPC / Operation,Trigger,Request Payload Keys,Notes
Auth,Login,User Authentication,login.amig.com,POST,/oauth2/v2.0/token,OAuth Token,Login / refresh,"grant_type, client_id, scope, code / refresh_token",Azure B2C authentication
Start Quote,Start Quote,Load user context,amsuite.amig.com,POST,/pc/service/edge/gateway/user,getCurrentUser,App load,{},"Returns username, userId"
Start Quote,Start Quote,Agent dropdown,amsuite.amig.com,POST,/pc/service/edge/gateway/user,getAvailableProducerCodesForCurrentUser,Start Quote load,{},Populates Agent number
Start Quote,Start Quote,Agent search,amsuite.amig.com,POST,/pc/service/edge/gateway/searchproducers,getProducerCodesByCriteria,Typing/searching Agent,ProducerCode,Producer autocomplete
Eligibility,Start Quote,Validate producer criteria,amsuite.amig.com,POST,/pc/service/edge/prism/auth,validateProducerCriteria,Agent/State/Date change,"EffectiveDt, PolicyType, state, companyNum",Eligibility gating
Eligibility,Start Quote,Get producer products,amsuite.amig.com,POST,/pc/service/edge/prism/auth,getProducerProducts,After criteria valid,"effectiveDt, state, chAsgnId",Product dropdown
External,Start Quote,Selectable products,api-prod.munichre.com,GET,/amod/ap/prod/V1/selectable-products,REST,Populate products,"userId, agentCode, state, effectiveDate",Authoritative product list
External,Start Quote,Sub-producers,api-prod.munichre.com,GET,/amod/ap/prod/V1/subproducers,REST,After Agent select,"chAsgnId, prismId",Sub-producer dropdown
Customer Search,Existing Customer,Search accounts,amsuite.amig.com,POST,/pc/service/edge/gateway/account,getPotentialExistingAccounts,Click Search,"firstName, lastName, city, state, postalCode, contactType",Returns possible matches
Customer Create,New Customer,Address standardization,amsuite.amig.com,POST,/pc/service/edge/address/addressstandardization,lookupAddressUsingObject,Address entry,"addressLine1, city, state, postalCode, country",Validates & normalizes address
Customer Create,New Customer,Create account,amsuite.amig.com,POST,/pc/service/edge/gateway/account,getOrCreateAccount,Continue (New Customer),"accountHolder.*, producerCodes",Creates accountNumber
Submission,Policy Details,Create submission,amsuite.amig.com,POST,/pc/service/edge/gateway/submission,createNewSubmission,Next (Policy Details),"accountNumber, effectiveDate, state, producerCode, policyType, productCode",Starts quote
Quote,QNB Flow,Load quote,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/quote,retrieve,Enter QNB flow,quoteID,Hydrates quote UI
Quote Save,QNB Flow,Save qualification & discounts,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/quote,updateDraftSubmission,Next / field change,lobData.personalAuto.preQualQuestionSets,Main persistence endpoint
Navigation,QNB Flow,Refresh question sets,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/questionset,refreshQuestionSets,Step transition,"submissionNumber, questionSets",Loads next step
Validation,Drivers,License validation,amsuite.amig.com,POST,/pc/service/edge/validation/policyValidator,validateLicenseNumber,License entry,"licenseNumber, licenseState",Driver validation
Vehicle,Vehicles,Get makes,amsuite.amig.com,POST,/pc/service/edge/vmm/lookup,getMakes,Year/type change,"Year, VehicleType, PolicyType",Vehicle make dropdown
Vehicle,Vehicles,Get models,amsuite.amig.com,POST,/pc/service/edge/vmm/lookup,getModels,Make/year change,"Year, Make, BoatLength",Vehicle/Boat models
Vehicle,Vehicles,Get unit info,amsuite.amig.com,POST,/pc/service/edge/vmm/lookup,getUnitInfo,Finalize vehicle,"Year, Make, Model, State, EffectiveDate",Rating attributes
Quote Save,Drivers,Save driver details,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/quote,updateDraftSubmission,Driver field change / Next,"persons[].*, lobData.personalAuto.driverInfo","Driver demographics, marital status, experience"
Quote Save,Vehicles,Save vehicle details,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/quote,updateDraftSubmission,Vehicle field change / Continue,lobData.personalAuto.vehicles,Boat/vehicle attributes saved
Lookup,Vehicles,Get makes,amsuite.amig.com,POST,/pc/service/edge/vmm/lookup,getMakes,Year/type selection,"Year, VehicleType, PolicyType",Populates Make dropdown
Lookup,Vehicles,Get lengths/models,amsuite.amig.com,POST,/pc/service/edge/vmm/lookup,getBoatLengthsModels,Make selection,"Year, Make, VehicleType",Boat length/model options
Lookup,Vehicles,Get models,amsuite.amig.com,POST,/pc/service/edge/vmm/lookup,getModels,Length selection,"Year, Make, BoatLength",Model dropdown
Address,Vehicles,Validate storage/mooring address,amsuite.amig.com,POST,/pc/service/edge/address/addressstandardization,lookupAddressUsingObject,Storage address entry,"addressLine1, city, state, postalCode",Triggers address confirmation modal
Lookup,Vehicles,Get unit info,amsuite.amig.com,POST,/pc/service/edge/vmm/lookup,getUnitInfo,Finalize vehicle,"Year, Make, Model, State, EffectiveDate",Rating attributes
Quote Save,Vehicles,Override invalid address,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/quote,updateDraftSubmission,Confirm Address,"addressOverrideReason, address",Stores non-standard address with reason
Quote,Quote,Calculate premium,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/quote,rate,Click Calculate,"submissionNumber, ratingOptions",Triggers underwriting + pricing
Quote,Quote,Retrieve underwriting issues,amsuite.amig.com,POST,/pc/service/edge/gatewayquote/uw,getUnderwritingIssues,After rate,submissionNumber,Returns UW blocking messages
